Origin_Gene	NONE	PKD1	PKD1P1	PKD1P2	PKD1P3	PKD1P4	PKD1P5	PKD1P6
PKD1	508	13693	0	0	0	0	0	0
PKD1P1	12664	0	1562	0	0	14	14	0
PKD1P2	11148	0	0	3289	0	0	0	3
PKD1P3	10551	0	1	0	3867	15	0	5
PKD1P4	11790	0	20	0	0	2484	0	6
PKD1P5	10847	0	7	0	0	0	3273	0
PKD1P6	2818	0	0	0	0	0	0	11421
