Origin_Gene	PKD1	PKD1P1	PKD1P2	PKD1P3	PKD1P4	PKD1P5	PKD1P6
PKD1	13852	40	31	59	21	64	134
PKD1P1	109	6913	533	2022	1678	2629	370
PKD1P2	72	601	8943	600	1894	2084	246
PKD1P3	138	1966	533	8897	999	1400	506
PKD1P4	91	2074	2255	1224	7712	682	262
PKD1P5	108	2145	1606	1192	502	8277	297
PKD1P6	237	314	195	394	177	320	12602
