Read_Name	Origin_Gene	Mapped_Gene
Read80120	PKD1	PKD1
Read22096	PKD1P6	PKD1P6
Read20600	PKD1P6	PKD1P6
Read34651	PKD1P6	PKD1
Read48381	PKD1P6	PKD1P6
Read38811	PKD1P5	PKD1P5
Read82137	PKD1	PKD1
Read66107	PKD1P6	PKD1P6
Read81554	PKD1P3	PKD1P3
Read86284	PKD1P6	PKD1P6
Read33866	PKD1P6	PKD1P6
Read83695	PKD1P6	PKD1P6
Read73484	PKD1P3	PKD1P3
Read21924	PKD1	PKD1
Read94848	PKD1P4	PKD1P4
Read92603	PKD1P4	PKD1P4
Read37674	PKD1	PKD1
Read65898	PKD1P6	PKD1P6
Read98104	PKD1	PKD1
Read33281	PKD1P6	PKD1P6
Read20036	PKD1P6	PKD1P6
Read25136	PKD1P6	PKD1P6
Read22069	PKD1P6	PKD1P6
Read59322	PKD1	PKD1
Read48476	PKD1	PKD1
Read33136	PKD1P3	PKD1P3
Read11203	PKD1P4	PKD1P4
Read45548	PKD1P2	PKD1P2
Read63497	PKD1P6	PKD1P6
Read67749	PKD1	PKD1
Read32310	PKD1	PKD1
Read59755	PKD1P6	PKD1P6
Read25109	PKD1P2	PKD1P2
Read77533	PKD1P6	PKD1P3
Read14076	PKD1P6	PKD1P6
Read82834	PKD1P3	PKD1P3
Read63958	PKD1P6	PKD1P6
Read12619	PKD1	PKD1
Read5284	PKD1P4	PKD1P4
Read63688	PKD1	PKD1
Read68086	PKD1P6	PKD1P6
Read67515	PKD1	PKD1
Read94091	PKD1	PKD1
Read72467	PKD1	PKD1
Read95297	PKD1	PKD1
Read41553	PKD1P5	PKD1P5
Read49701	PKD1P3	PKD1P3
Read29132	PKD1	PKD1
Read16092	PKD1	PKD1
Read641	PKD1P6	PKD1P6
Read96781	PKD1P2	PKD1P2
Read75493	PKD1P6	PKD1P6
Read45112	PKD1	PKD1
Read98593	PKD1P6	PKD1P6
Read34925	PKD1P6	PKD1P6
Read84681	PKD1P6	PKD1P6
Read53218	PKD1P6	PKD1P6
Read59604	PKD1	PKD1
Read60418	PKD1P2	PKD1P2
Read90123	PKD1P6	PKD1P6
Read80339	PKD1	PKD1
Read96981	PKD1P4	PKD1P4
Read78252	PKD1	PKD1
Read7747	PKD1	PKD1
Read88455	PKD1P6	PKD1P6
Read82419	PKD1P2	PKD1P2
Read68765	PKD1P6	PKD1P6
Read32104	PKD1P5	PKD1P5
Read46527	PKD1P1	PKD1P1
Read68792	PKD1P1	PKD1P1
Read13309	PKD1P3	PKD1P3
Read11372	PKD1P3	PKD1P5
Read97869	PKD1P4	PKD1P4
Read29387	PKD1P6	PKD1P6
Read37500	PKD1P3	PKD1P3
Read3052	PKD1	PKD1
Read57574	PKD1	PKD1
Read27284	PKD1P6	PKD1P6
Read46620	PKD1P4	PKD1P2
Read89530	PKD1	PKD1
Read15159	PKD1	PKD1
Read97802	PKD1P1	PKD1P1
Read30117	PKD1P4	PKD1P4
Read13122	PKD1P5	PKD1P5
Read98262	PKD1P6	PKD1P6
Read71368	PKD1P6	PKD1P6
Read94413	PKD1	PKD1
Read88714	PKD1P1	PKD1P1
Read81790	PKD1	PKD1
Read3455	PKD1P6	PKD1P6
Read35107	PKD1P6	PKD1P6
Read66872	PKD1	PKD1
Read99544	PKD1	PKD1
Read16464	PKD1P5	PKD1P5
Read35543	PKD1P6	PKD1P6
Read41352	PKD1P6	PKD1P6
Read68448	PKD1	PKD1
Read38506	PKD1	PKD1
Read89862	PKD1	PKD1
Read29195	PKD1P6	PKD1P6
Read63976	PKD1P2	PKD1P2
Read61628	PKD1P3	PKD1P3
Read29470	PKD1P3	PKD1P3
Read23532	PKD1	PKD1
Read42200	PKD1P5	PKD1P5
Read37977	PKD1P4	PKD1P4
Read17867	PKD1	PKD1
Read47155	PKD1P6	PKD1P6
Read50444	PKD1P6	PKD1P6
Read31240	PKD1P5	PKD1P5
Read65982	PKD1	PKD1
Read41316	PKD1P6	PKD1P6
Read9899	PKD1P1	PKD1P1
Read85762	PKD1	PKD1
Read69384	PKD1P2	PKD1P2
Read68091	PKD1P4	PKD1P4
Read73968	PKD1P2	PKD1P2
Read1459	PKD1P6	PKD1P6
Read33528	PKD1P6	PKD1P6
Read63904	PKD1P6	PKD1P6
Read36795	PKD1P6	PKD1P6
Read68171	PKD1P6	PKD1P6
Read49608	PKD1P1	PKD1P1
Read66891	PKD1P6	PKD1P6
Read82017	PKD1	PKD1
Read72016	PKD1	PKD1
Read73238	PKD1P6	PKD1P6
Read9194	PKD1P6	PKD1P6
Read31947	PKD1P5	PKD1P5
Read79871	PKD1	PKD1
Read39496	PKD1P2	PKD1P2
Read5471	PKD1P6	PKD1P6
Read28427	PKD1P3	PKD1P3
Read83922	PKD1P6	PKD1P6
Read91139	PKD1P6	PKD1P6
Read17137	PKD1	PKD1
Read39878	PKD1	PKD1
Read41776	PKD1	PKD1
Read99655	PKD1P6	PKD1P6
Read96159	PKD1P5	PKD1P5
Read72850	PKD1P6	PKD1P6
Read61711	PKD1	PKD1
Read26199	PKD1P6	PKD1P6
Read9333	PKD1	PKD1
Read21855	PKD1P3	PKD1P3
Read88674	PKD1P3	PKD1P3
Read34499	PKD1P4	PKD1P4
Read99843	PKD1P4	PKD1P4
Read67572	PKD1	PKD1
Read72692	PKD1	PKD1
Read64832	PKD1P3	PKD1P4
Read56646	PKD1	PKD1
Read13280	PKD1P3	PKD1P3
Read72562	PKD1P6	PKD1P6
Read65570	PKD1	PKD1
Read73382	PKD1	PKD1
Read89775	PKD1P6	PKD1P6
Read89864	PKD1	PKD1
Read15676	PKD1P3	PKD1P3
Read29500	PKD1P4	PKD1P4
Read97271	PKD1	PKD1
Read76457	PKD1P3	PKD1P3
Read54935	PKD1P3	PKD1P3
Read60967	PKD1	PKD1
Read40587	PKD1	PKD1
Read20499	PKD1	PKD1
Read17374	PKD1P5	PKD1P5
Read18637	PKD1P6	PKD1P6
Read40453	PKD1P2	PKD1P2
Read90478	PKD1P6	PKD1P6
Read7434	PKD1	PKD1
Read26153	PKD1	PKD1
Read55553	PKD1P6	PKD1P6
Read52778	PKD1	PKD1
Read89538	PKD1P3	PKD1P3
Read94649	PKD1P6	PKD1P6
Read1075	PKD1P6	PKD1P6
Read98189	PKD1P2	PKD1P2
Read60762	PKD1	PKD1
Read43219	PKD1P6	PKD1P6
Read75288	PKD1P3	PKD1P3
Read59619	PKD1P6	PKD1P6
Read17833	PKD1P6	PKD1P6
Read60831	PKD1P6	PKD1P6
Read94805	PKD1P4	PKD1P4
Read25955	PKD1	PKD1
Read60398	PKD1	PKD1
Read95417	PKD1P4	PKD1P4
Read15111	PKD1	PKD1
Read4029	PKD1P6	PKD1P6
Read91314	PKD1P1	PKD1P4
Read78866	PKD1	PKD1
Read8952	PKD1P3	PKD1P3
Read87055	PKD1P6	PKD1P6
Read87609	PKD1	PKD1
Read20734	PKD1	PKD1
Read69892	PKD1P2	PKD1P2
Read92679	PKD1P6	PKD1P6
Read67945	PKD1P6	PKD1P6
Read89096	PKD1	PKD1
Read85575	PKD1P6	PKD1P6
Read32678	PKD1P6	PKD1P6
Read88871	PKD1P6	PKD1P6
Read43571	PKD1P2	PKD1P2
Read22878	PKD1	PKD1
Read74696	PKD1P5	PKD1P5
Read56177	PKD1	PKD1
Read8259	PKD1P5	PKD1P5
Read33868	PKD1P3	PKD1P3
Read35810	PKD1P2	PKD1P2
Read83887	PKD1P2	PKD1P4
Read74381	PKD1P2	PKD1P2
Read3084	PKD1P5	PKD1P5
Read65178	PKD1	PKD1
Read42133	PKD1P4	PKD1P4
Read85934	PKD1P3	PKD1P3
Read30130	PKD1P3	PKD1P3
Read52288	PKD1P6	PKD1P6
Read28653	PKD1P5	PKD1P5
Read50575	PKD1P1	PKD1P1
Read13436	PKD1	PKD1
Read30392	PKD1P4	PKD1P4
Read55518	PKD1P4	PKD1P4
Read27730	PKD1P5	PKD1P5
Read36407	PKD1	PKD1
Read74023	PKD1	PKD1
Read6904	PKD1P4	PKD1P4
Read4882	PKD1P2	PKD1P2
Read41473	PKD1P1	PKD1P1
Read31690	PKD1	PKD1
Read58097	PKD1	PKD1
Read33398	PKD1P6	PKD1P6
Read56117	PKD1	PKD1
Read92906	PKD1	PKD1
Read44428	PKD1P6	PKD1P6
Read83359	PKD1P1	PKD1P1
Read38592	PKD1P2	PKD1P4
Read64889	PKD1P1	PKD1P1
Read94603	PKD1P3	PKD1P3
Read23892	PKD1P5	PKD1P5
Read40698	PKD1P4	PKD1P4
Read8445	PKD1	PKD1
Read45791	PKD1P6	PKD1P6
Read88529	PKD1	PKD1
Read88750	PKD1P6	PKD1P6
Read90624	PKD1	PKD1
Read96221	PKD1P5	PKD1P5
Read441	PKD1P2	PKD1P2
Read18035	PKD1P6	PKD1P6
Read7182	PKD1P1	PKD1P1
Read78125	PKD1P6	PKD1P6
Read27677	PKD1P6	PKD1P6
Read42278	PKD1P4	PKD1P4
Read97225	PKD1P6	PKD1P6
Read43884	PKD1	PKD1
Read85123	PKD1	PKD1
Read64978	PKD1P1	PKD1P1
Read34186	PKD1P6	PKD1P6
Read66330	PKD1P6	PKD1P6
Read87013	PKD1P2	PKD1P2
Read18688	PKD1P1	PKD1P1
Read38792	PKD1P6	PKD1P6
Read90328	PKD1	PKD1
Read78861	PKD1P5	PKD1P5
Read79654	PKD1	PKD1
Read85725	PKD1	PKD1
Read73116	PKD1P4	PKD1P2
Read3643	PKD1P5	PKD1P5
Read85169	PKD1P5	PKD1P5
Read54957	PKD1P6	PKD1P6
Read63226	PKD1P3	PKD1P3
Read13126	PKD1P4	PKD1P4
Read45907	PKD1	PKD1
Read62158	PKD1	PKD1
Read54015	PKD1P6	PKD1P6
Read64410	PKD1P4	PKD1P4
Read20567	PKD1	PKD1
Read34691	PKD1P6	PKD1P6
Read1341	PKD1P1	PKD1P1
Read2390	PKD1P2	PKD1P2
Read83047	PKD1	PKD1
Read19514	PKD1	PKD1
Read87307	PKD1P2	PKD1P2
Read1162	PKD1	PKD1
Read50466	PKD1P3	PKD1P3
Read83703	PKD1P6	PKD1P6
Read76057	PKD1P6	PKD1P6
Read76117	PKD1P3	PKD1P3
Read80691	PKD1	PKD1
Read12102	PKD1	PKD1
Read17140	PKD1P3	PKD1P3
Read86359	PKD1P6	PKD1P6
Read84793	PKD1	PKD1
Read38255	PKD1P4	PKD1P4
Read36378	PKD1P6	PKD1P6
Read7886	PKD1	PKD1
Read26031	PKD1P2	PKD1P2
Read21650	PKD1	PKD1
Read1516	PKD1P6	PKD1P6
Read42642	PKD1P2	PKD1P2
Read17484	PKD1	PKD1
Read53516	PKD1P3	PKD1P3
Read33343	PKD1	PKD1
Read8003	PKD1P6	PKD1P6
Read62573	PKD1	PKD1
Read25839	PKD1P4	PKD1P2
Read32081	PKD1P6	PKD1P6
Read70726	PKD1	PKD1
Read27438	PKD1P5	PKD1P5
Read59077	PKD1P6	PKD1P6
Read46280	PKD1P6	PKD1P6
Read26360	PKD1P1	PKD1P1
Read53322	PKD1	PKD1
Read3902	PKD1P6	PKD1P6
Read38720	PKD1	PKD1
Read94419	PKD1	PKD1
Read99222	PKD1P5	PKD1P5
Read49102	PKD1	PKD1
Read82438	PKD1	PKD1
Read60311	PKD1P6	PKD1P6
Read6275	PKD1P3	PKD1P3
Read56938	PKD1P6	PKD1P6
Read85392	PKD1P5	PKD1P5
Read25350	PKD1	PKD1
Read84951	PKD1	PKD1
Read43585	PKD1P6	PKD1P6
Read276	PKD1P5	PKD1P5
Read10798	PKD1	PKD1
Read90194	PKD1P6	PKD1P6
Read44110	PKD1P6	PKD1P6
Read50455	PKD1	PKD1
Read15063	PKD1	PKD1
Read17333	PKD1	PKD1
Read96130	PKD1	PKD1
Read57419	PKD1P2	PKD1P1
Read56242	PKD1P5	PKD1P5
Read58945	PKD1	PKD1
Read13159	PKD1	PKD1
Read57322	PKD1	PKD1
Read57649	PKD1	PKD1
Read41800	PKD1P6	PKD1P6
Read79249	PKD1	PKD1
Read47923	PKD1P5	PKD1P5
Read96757	PKD1P5	PKD1P5
Read3925	PKD1P3	PKD1P3
Read43374	PKD1	PKD1
Read88021	PKD1P1	PKD1P1
Read50308	PKD1P1	PKD1P1
Read28031	PKD1	PKD1
Read37988	PKD1P5	PKD1P5
Read95489	PKD1P6	PKD1P5
Read14256	PKD1	PKD1
Read50448	PKD1P5	PKD1P5
Read86964	PKD1P1	PKD1P1
Read6626	PKD1	PKD1
Read10252	PKD1	PKD1
Read88990	PKD1	PKD1
Read98690	PKD1P5	PKD1P5
Read27992	PKD1	PKD1
Read33649	PKD1P6	PKD1P6
Read15196	PKD1P2	PKD1P2
Read45578	PKD1P2	PKD1P2
Read12828	PKD1P5	PKD1P5
Read92206	PKD1P3	PKD1P3
Read91009	PKD1P6	PKD1P6
Read48505	PKD1P6	PKD1P6
Read58877	PKD1P6	PKD1P6
Read29768	PKD1P4	PKD1P5
Read24700	PKD1	PKD1
Read60825	PKD1	PKD1
Read40588	PKD1P6	PKD1P6
Read55870	PKD1	PKD1
Read56185	PKD1P5	PKD1P5
Read19373	PKD1	PKD1
Read37683	PKD1P3	PKD1P3
Read17740	PKD1P3	PKD1P3
Read28661	PKD1P6	PKD1P6
Read83519	PKD1	PKD1
Read76191	PKD1P5	PKD1P5
Read20431	PKD1P2	PKD1P2
Read52527	PKD1	PKD1
Read73487	PKD1P2	PKD1P2
Read22122	PKD1P6	PKD1P6
Read6822	PKD1P3	PKD1P3
Read39571	PKD1	PKD1
Read12333	PKD1	PKD1
Read12717	PKD1P5	PKD1P5
Read458	PKD1	PKD1
Read80970	PKD1P4	PKD1P4
Read24664	PKD1	PKD1
Read6395	PKD1P6	PKD1P6
Read15815	PKD1	PKD1
Read32410	PKD1P4	PKD1P1
Read63313	PKD1P6	PKD1P6
Read66577	PKD1	PKD1
Read42462	PKD1P3	PKD1P3
Read1128	PKD1	PKD1
Read51087	PKD1P6	PKD1P6
Read30982	PKD1P6	PKD1P6
Read62726	PKD1P6	PKD1P6
Read88636	PKD1P6	PKD1P6
Read83412	PKD1P6	PKD1P6
Read90248	PKD1P3	PKD1P3
Read52416	PKD1	PKD1
Read61642	PKD1P5	PKD1P5
Read88910	PKD1P6	PKD1P6
Read71542	PKD1P5	PKD1P5
Read87123	PKD1	PKD1
Read94712	PKD1P1	PKD1P1
Read9105	PKD1P3	PKD1P3
Read67659	PKD1P6	PKD1P6
Read36468	PKD1P1	PKD1P1
Read70089	PKD1	PKD1
Read27521	PKD1	PKD1
Read84136	PKD1P3	PKD1P3
Read39948	PKD1P6	PKD1P6
Read50340	PKD1	PKD1
Read30968	PKD1P1	PKD1P1
Read13579	PKD1P2	PKD1P2
Read19258	PKD1P2	PKD1P2
Read58591	PKD1P2	PKD1P2
Read73751	PKD1P2	PKD1P2
Read27590	PKD1P6	PKD1P6
Read88060	PKD1	PKD1
Read35381	PKD1P2	PKD1P2
Read44358	PKD1P6	PKD1P6
Read78451	PKD1P5	PKD1P5
Read94747	PKD1	PKD1
Read99454	PKD1	PKD1
Read19142	PKD1	PKD1
Read81021	PKD1	PKD1
Read95171	PKD1P5	PKD1P5
Read58949	PKD1P6	PKD1P6
Read33921	PKD1	PKD1
Read67065	PKD1P6	PKD1P6
Read87597	PKD1	PKD1
Read37313	PKD1P4	PKD1P1
Read33172	PKD1P2	PKD1P2
Read77139	PKD1	PKD1
Read86623	PKD1P6	PKD1P6
Read38220	PKD1	PKD1
Read83853	PKD1P2	PKD1P5
Read54789	PKD1	PKD1
Read4600	PKD1	PKD1
Read21476	PKD1	PKD1
Read93951	PKD1P6	PKD1P6
Read68398	PKD1P6	PKD1P6
Read39348	PKD1	PKD1
Read68150	PKD1	PKD1
Read47281	PKD1	PKD1
Read40617	PKD1	PKD1
Read19658	PKD1	PKD1
Read47129	PKD1P6	PKD1P6
Read92885	PKD1P2	PKD1P2
Read97065	PKD1P5	PKD1P5
Read68344	PKD1P2	PKD1P2
Read86227	PKD1P6	PKD1P6
Read6431	PKD1	PKD1
Read99042	PKD1	PKD1
Read62487	PKD1	PKD1
Read87767	PKD1	PKD1
Read76875	PKD1	PKD1
Read84860	PKD1P6	PKD1P6
Read34465	PKD1P5	PKD1P5
Read27195	PKD1P5	PKD1P5
Read43531	PKD1P6	PKD1P6
Read24005	PKD1	PKD1
Read61223	PKD1	PKD1
Read80268	PKD1P3	PKD1P1
Read14737	PKD1	PKD1
Read98296	PKD1	PKD1
Read81095	PKD1P5	PKD1P5
Read93247	PKD1	PKD1
Read86676	PKD1P6	PKD1P6
Read67652	PKD1P5	PKD1P5
Read11781	PKD1P5	PKD1P5
Read31030	PKD1	PKD1
Read75869	PKD1P6	PKD1P6
Read2246	PKD1P6	PKD1P6
Read45777	PKD1P4	PKD1P4
Read68108	PKD1P5	PKD1P5
Read23405	PKD1P4	PKD1P4
Read39581	PKD1P6	PKD1P6
Read1201	PKD1P4	PKD1P4
Read4030	PKD1	PKD1
Read1647	PKD1	PKD1
Read85129	PKD1P6	PKD1P6
Read3896	PKD1P6	PKD1P6
Read64052	PKD1P2	PKD1P2
Read6499	PKD1	PKD1
Read17064	PKD1	PKD1
Read44747	PKD1	PKD1
Read34416	PKD1P6	PKD1P6
Read14751	PKD1P3	PKD1P3
Read36141	PKD1P6	PKD1P6
Read91630	PKD1P3	PKD1P3
Read33544	PKD1P4	PKD1P4
Read18630	PKD1P2	PKD1P2
Read57558	PKD1P2	PKD1P2
Read52580	PKD1P3	PKD1P3
Read73043	PKD1P4	PKD1P4
Read54700	PKD1	PKD1
Read33802	PKD1	PKD1
Read95930	PKD1P2	PKD1P2
Read73621	PKD1P4	PKD1P4
Read90407	PKD1	PKD1
Read38298	PKD1	PKD1
Read87575	PKD1P4	PKD1P4
Read85343	PKD1P6	PKD1P6
Read63108	PKD1	PKD1
Read10872	PKD1P2	PKD1P2
Read61825	PKD1P2	PKD1P2
Read5836	PKD1P2	PKD1P2
Read22542	PKD1P6	PKD1P6
Read74612	PKD1P6	PKD1P6
Read34439	PKD1P6	PKD1P6
Read38451	PKD1	PKD1
Read44682	PKD1	PKD1
Read65323	PKD1	PKD1
Read21256	PKD1P6	PKD1P6
Read30505	PKD1P3	PKD1P3
Read64354	PKD1P5	PKD1P5
Read31142	PKD1P6	PKD1P6
Read83343	PKD1P3	PKD1P3
Read10964	PKD1P6	PKD1P6
Read92865	PKD1P6	PKD1P6
Read61465	PKD1	PKD1
Read10241	PKD1	PKD1
Read17834	PKD1P6	PKD1P6
Read42552	PKD1	PKD1
Read45509	PKD1P3	PKD1P3
Read71573	PKD1P6	PKD1P6
Read15820	PKD1P3	PKD1P3
Read23792	PKD1P5	PKD1P5
Read25358	PKD1P6	PKD1P6
Read46990	PKD1P6	PKD1P6
Read91309	PKD1P6	PKD1P6
Read67279	PKD1P5	PKD1P5
Read13797	PKD1P6	PKD1P6
Read4795	PKD1P3	PKD1P3
Read45719	PKD1P5	PKD1P5
Read19280	PKD1P6	PKD1P6
Read15244	PKD1P3	PKD1P3
Read77097	PKD1P2	PKD1P2
Read26747	PKD1	PKD1
Read37205	PKD1	PKD1
Read35258	PKD1P5	PKD1P5
Read74527	PKD1	PKD1
Read7190	PKD1P6	PKD1P6
Read97379	PKD1	PKD1
Read37708	PKD1P6	PKD1P6
Read63325	PKD1	PKD1
Read41836	PKD1	PKD1
Read82088	PKD1P2	PKD1P2
Read80876	PKD1P3	PKD1P3
Read30674	PKD1	PKD1
Read55213	PKD1P2	PKD1P2
Read62987	PKD1P5	PKD1P2
Read14154	PKD1	PKD1
Read51753	PKD1P6	PKD1P6
Read93199	PKD1	PKD1
Read84322	PKD1P4	PKD1P4
Read78940	PKD1P6	PKD1P6
Read75451	PKD1P3	PKD1P3
Read95278	PKD1P4	PKD1P4
Read18458	PKD1	PKD1
Read70104	PKD1P3	PKD1P3
Read2041	PKD1	PKD1
Read24592	PKD1P6	PKD1P6
Read56487	PKD1P2	PKD1P2
Read69053	PKD1P4	PKD1P4
Read75902	PKD1P5	PKD1P5
Read74983	PKD1P3	PKD1P5
Read95198	PKD1	PKD1
Read33449	PKD1	PKD1
Read9724	PKD1	PKD1
Read99936	PKD1P2	PKD1P2
Read95808	PKD1P4	PKD1P4
Read32453	PKD1P6	PKD1P6
Read42022	PKD1P2	PKD1P2
Read3107	PKD1P4	PKD1P4
Read92406	PKD1P6	PKD1P6
Read54836	PKD1P6	PKD1P6
Read67181	PKD1P6	PKD1P6
Read14906	PKD1P2	PKD1P2
Read76187	PKD1	PKD1
Read26392	PKD1	PKD1
Read20384	PKD1	PKD1
Read40211	PKD1P6	PKD1P6
Read19116	PKD1P5	PKD1P5
Read83109	PKD1P2	PKD1P2
Read90731	PKD1P6	PKD1P6
Read27933	PKD1P6	PKD1P6
Read28403	PKD1P3	PKD1P3
Read65207	PKD1P6	PKD1P6
Read76835	PKD1P2	PKD1P2
Read66897	PKD1	PKD1
Read56832	PKD1P5	PKD1P5
Read54734	PKD1	PKD1
Read49368	PKD1P2	PKD1P2
Read19286	PKD1P6	PKD1P6
Read48772	PKD1P6	PKD1P6
Read75008	PKD1P6	PKD1P6
Read31693	PKD1P6	PKD1P6
Read17685	PKD1	PKD1
Read81707	PKD1	PKD1
Read20022	PKD1	PKD1
Read44790	PKD1P5	PKD1P5
Read81678	PKD1P6	PKD1P6
Read26993	PKD1P6	PKD1P6
Read9962	PKD1	PKD1
